,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
ts,topic,type,ticker,price,qty,agent,rule,label,buy_agent,sell_agent,previous_delta,current_delta,agent_name
,alert,test_alert,,,,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
