,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100010,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100005,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
,market,trade,WINFUT,100000,1,,,,,,,,
