ts,topic,type,ticker,price,qty,agent,rule,label,buy_agent,sell_agent,previous_delta,current_delta,agent_name
2026-03-29T20:08:17.051Z,market,trade,TESTE,99996.60649520057,168,,,,JPM,GOLDM,,,
2026-03-29T20:08:17.212Z,market,trade,TESTE,99993.66022308613,130,,,,MS,ITAU,,,
2026-03-29T20:08:17.370Z,market,trade,TESTE,99993.91952233911,154,,,,CITI,GOLDM,,,
2026-03-29T20:08:17.526Z,market,trade,TESTE,99997.27219364117,123,,,,BTG,GOLDM,,,
2026-03-29T20:08:17.676Z,market,trade,TESTE,99992.34810332881,133,,,,GOLDM,UBS,,,
2026-03-29T20:08:17.830Z,market,trade,TESTE,99993.5497553167,138,,,,MS,UBS,,,
2026-03-29T20:08:17.985Z,market,trade,TESTE,100005.84044249296,173,,,,UBS,JPM,,,
2026-03-29T20:08:18.140Z,market,trade,TESTE,100002.31310911193,44,,,,CITI,BTG,,,
2026-03-29T20:08:18.306Z,market,trade,TESTE,100005.44591697915,68,,,,UBS,XP,,,
2026-03-29T20:08:18.458Z,market,trade,TESTE,99995.44375582717,18,,,,GOLDM,CS,,,
2026-03-29T20:08:18.616Z,market,trade,TESTE,99992.17266388488,72,,,,BTG,GOLDM,,,
2026-03-29T20:08:18.767Z,market,trade,TESTE,100003.73255660484,68,,,,UBS,UBS,,,
2026-03-29T20:08:18.918Z,market,trade,TESTE,99998.70465336493,95,,,,UBS,ITAU,,,
2026-03-29T20:08:19.079Z,market,trade,TESTE,99994.54536164948,118,,,,GOLDM,BARCL,,,
2026-03-29T20:08:19.236Z,market,trade,TESTE,100003.89187138173,41,,,,BARCL,BTG,,,
2026-03-29T20:08:19.399Z,market,trade,TESTE,100007.8705663729,76,,,,MS,UBS,,,
2026-03-29T20:08:19.563Z,market,trade,TESTE,100006.83215270685,97,,,,BARCL,BARCL,,,
2026-03-29T20:08:19.720Z,market,trade,TESTE,99993.68535881798,131,,,,BARCL,CITI,,,
2026-03-29T20:08:19.877Z,market,trade,TESTE,100006.48621382249,179,,,,UBS,CS,,,
2026-03-29T20:08:20.032Z,market,trade,TESTE,100002.57217702722,150,,,,ITAU,CITI,,,
2026-03-29T20:08:20.197Z,market,trade,TESTE,100003.75223489448,98,,,,BTG,ITAU,,,
2026-03-29T20:08:20.353Z,market,trade,TESTE,100004.55074979784,67,,,,CITI,BTG,,,
2026-03-29T20:08:20.507Z,market,trade,TESTE,99996.15371413146,65,,,,UBS,UBS,,,
2026-03-29T20:08:20.661Z,market,trade,TESTE,100000.3492653987,13,,,,GOLDM,CS,,,
